mass,length
4,196
4,221
4,136
6,255
6,244
6,230
6,232
6,255
6,267
4,212
4,225
6,239
12,359
12,359
8,338
8,354
8,338
8,354
12,359
4,202
4,230
4,214
4,230
4,230
4,214
4,235
6,251
6,224
6,258
6,224
6,258
8,260
6,227
6,258
8,288
12,361
6,230
4,242
4,239
6,258
4,212
6,246
6,304
6,294
8,336
8,407
10,354
10,409
8,336
8,407
10,354
10,409
8,306
8,308
8,290
6,262
6,285
6,262
6,285
6,267
8,281
8,281
8,297
6,292
4,209
4,209
4,237
4,237
8,297
12,356
8,320
12,380
8,322
12,380
12,380
8,437
4,193
4,200
4,202
4,181
4,181
4,193
4,200
4,209
4,209
4,209
6,221
6,230
6,228
6,237
6,232
4,193
4,200
4,209
6,221
6,230
6,228
6,237
4,202
4,209
6,213
6,232
6,246
8,281
8,292
6,232
8,292
8,281
8,292
6,246
8,292
8,292
12,356
6,191
6,214
6,212
8,292
8,292
8,338
8,317
8,338
8,317
8,338
8,317
8,338
8,317
4,209
6,260
4,230
6,253
6,255
8,320
8,370
6,274
8,324
4,209
4,200
6,278
6,253
6,278
6,283
6,290
4,196
4,212
6,264
6,250
6,264
6,264
4,189
4,228
4,225
4,246
4,189
4,228
4,225
4,218
4,221
4,235
4,207
6,251
4,232
6,260
6,258
6,262
4,232
6,248
4,248
6,260
6,294
6,253
6,260
6,255
6,262
8,382
8,340
8,382
8,340
8,382
8,340
8,338
8,322
8,377
8,354
6,283
6,294
6,262
6,271
6,290
6,258
6,269
6,242
8,294
8,292
8,382
8,340
8,276
8,258
4,179
4,179
4,202
4,189
4,192
4,177
4,163
4,209
6,276
6,259
4,230
6,290
6,272
6,347
8,366
8,334
8,380
8,344
8,380
8,344
8,380
8,362
8,380
8,344
8,380
8,362
8,414
8,432
8,411
8,419
8,435
8,413
4,221
6,244
6,229
4,200
4,228
4,184
4,244
4,235
6,271
6,269
8,292
8,270
8,324
6,290
6,285
8,299
8,277
8,329
4,184
4,173
4,191
4,182
4,184
4,172
4,191
4,182
4,191
4,182
4,191
4,182
4,159
4,159
8,317
8,294
8,317
8,294
8,317
8,294
8,317
8,294
6,283
6,290
4,193
4,186
4,207
6,237
4,232
4,246
6,242
6,230
4,225
4,230
6,242
6,230
8,294
6,251
8,308
6,251
6,237
6,237
6,222
8,317
6,276
6,269
4,225
4,230
6,242
6,230
6,258
8,301
8,294
8,320
8,317
6,258
6,237
8,294
6,251
8,308
6,251
6,237
6,258
6,251
6,235
6,222
8,317
4,186
4,198
4,202
4,198
4,195
4,212
4,202
4,168
4,168
8,331
6,278
6,250
6,271
6,264
4,255
6,285
6,276
6,259
4,179
4,179
4,182
4,166
4,179
4,182
4,156
4,179
4,200
4,193
4,138
8,373
8,350
8,396
8,360
8,386
8,368
10,488
8,421
8,382
4,225
6,248
6,264
6,281
4,209
4,221
4,216
4,214
4,230
8,368
8,346
4,235
6,299
6,274
6,254
6,288
6,267
6,292
6,294
8,366
6,317
6,308
8,402
6,283
6,264
6,283
6,264
8,336
8,315
8,336
8,315
6,308
6,288
6,308
6,288
8,343
8,320
8,340
8,318
8,414
4,175
4,175
4,152
4,161
4,184
6,264
6,278
6,294
4,205
4,177
4,165
4,179
4,165
4,184
4,170
4,166
4,162
4,196
4,186
4,207
4,205
4,186
4,216
4,126
6,235
6,244
8,264
8,292
8,304
6,244
4,209
6,271
6,237
6,229
6,258
6,251
4,218
4,228
4,232
4,239
6,283
6,297
6,347
8,366
8,334
8,380
8,344
8,380
8,344
8,380
8,362
8,380
8,344
8,380
8,362
8,414
8,432
8,411
8,419
8,435
8,413
6,271
6,269
8,292
8,270
8,324
6,290
6,285
8,299
8,277
8,329
4,209
6,276
6,259
4,230
6,290
6,272
8,317
8,294
8,317
8,294
8,338
8,322
8,377
8,354
8,317
8,294
8,317
8,294
